grid_id,grid_x,grid_y,status,severity,flags,advice,num_episodes,episode_ids,num_high,num_low,matched_pairs,high_low_balance_ratio,high_low_imbalance,missing_high_low_pair_flag,high_minus_low_eef_gap,high_episode_ids,low_episode_ids,eef_z_max_mean,eef_z_max_std,eef_z_max_range,prelift_wrist_iqr,prelift_elbow_iqr
cell_x00_y02,0,2,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW",resume recording: add at least 3 demos in this cell; add at least 6 high-EEF demos in this cell; add at least 8 low-EEF demos in this cell,2,"45,49",2,0,0,0.0,1.0,1,,"45,49",,0.1916078884865216,0.011493364335949677,0.022986728671899354,3.2255696383389676,4.137979680841617
cell_x01_y02,1,2,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",add at least 5 high-EEF demos in this cell; add at least 4 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,7,"40,41,43,54,58,74,77",3,4,3,0.75,0.14285714285714285,0,0.1211919586537801,"40,41,43","54,58,74,77",0.12031367066794577,0.06003233713237165,0.1265858350333821,17.59235624833542,33.30054794658314
cell_x02_y02,2,2,CURATE_OR_RERECORD,3,"HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL",inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy,16,"48,80,81,82,85,86,88,89,90,91,93,94,95,97,98,99",8,8,8,1.0,0.0,0,0.11442662672832062,"48,80,81,82,85,86,88,89","90,91,93,94,95,97,98,99",0.12473255214697813,0.05796741388178908,0.13629770209301914,19.538314125754624,10.464381694793708
cell_x03_y02,3,2,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE",add at least 5 high-EEF demos in this cell; add at least 6 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos,5,"20,21,28,30,36",3,2,2,0.6666666666666666,0.2,0,0.12630648340054718,"20,21,28","30,36",0.1518899399567583,0.06222231623899041,0.1403349259015654,9.109214782714844,9.877757679332383
cell_x04_y02,4,2,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE",resume recording: add at least 1 demos in this cell; add at least 6 high-EEF demos in this cell; add at least 6 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos,4,"23,27,31,37",2,2,2,1.0,0.0,0,0.11507024687467486,"23,27","31,37",0.13899064880646217,0.05771936122263625,0.12337234116918214,9.788379322398782,10.508289813995361
cell_x00_y03,0,3,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW",resume recording: add at least 4 demos in this cell; add at least 8 high-EEF demos in this cell; add at least 7 low-EEF demos in this cell,1,76,0,1,0,0.0,1.0,1,,,76,0.07073722884532763,0.0,0.0,0.0,0.0
cell_x01_y03,1,3,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",add at least 1 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,16,"60,61,62,63,64,65,66,67,68,70,71,72,73,75,78,79",9,7,7,0.7777777777777778,0.125,0,0.11699879708920798,"60,61,62,63,64,65,66,67,68","70,71,72,73,75,78,79",0.1322214760218489,0.058709549036956084,0.14578460932587844,15.703144073486328,34.3982719074596
cell_x02_y03,2,3,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE",add at least 4 high-EEF demos in this cell; add at least 6 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos,6,"69,83,84,87,92,96",4,2,2,0.5,0.3333333333333333,0,0.11387339050600363,"69,83,84,87","92,96",0.14391054109552218,0.05408358058662225,0.1262381919295991,4.0530131946910615,10.431010202928022
cell_x03_y03,3,3,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_HIGH,HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",add at least 2 high-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,14,"0,1,5,6,8,9,10,11,12,15,16,17,18,19",6,8,6,0.75,0.14285714285714285,0,0.10956761469910481,"0,1,5,6,8,9","10,11,12,15,16,17,18,19",0.11866168540782648,0.05494350900060377,0.14111647557662524,18.244059475985452,40.02915538441051
cell_x04_y03,4,3,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",add at least 4 high-EEF demos in this cell; add at least 6 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,6,"2,3,4,7,13,14",4,2,2,0.5,0.3333333333333333,0,0.10544020119627451,"2,3,4,7","13,14",0.14549743366593268,0.05012742667536541,0.11679961935858871,20.93508529663086,19.687017180702902
